key,ideaA,ideaB,humanRelatedness,humanGenerality
"('malebranchestheoryofideasandvisioningod', 'philosophyofmind')",malebranche's theory of ideas and vision in god,philosophy of mind,4,0
"('kantsviewofthemindandconsciousnessofself', 'philosophyofmind')",kant's view of the mind and consciousness of self,philosophy of mind,4,0
"('medievalproblemofuniversals', 'philosophyofmind')",medieval problem of universals,philosophy of mind,1,0
"('consciousnessandintentionality', 'philosophyofmind')",consciousness and intentionality,philosophy of mind,4,0
"('18thcenturybritishaesthetics', 'philosophyofmind')",18th century british aesthetics,philosophy of mind,1,0
"('chineseroomargument', 'philosophyofmind')",chinese room argument,philosophy of mind,4,0
"('dualismandmetaphysicsofmind', 'philosophyofmind')",dualism and metaphysics of mind,philosophy of mind,4,0
"('panpsychism', 'philosophyofmind')",panpsychism,philosophy of mind,3,0
"('neutralmonism', 'philosophyofmind')",neutral monism,philosophy of mind,3,0
"('chineseroomargument', 'syntax')",chinese room argument,syntax,3,0
"('aristotlespsychology', 'philosophyofmind')",aristotle's psychology,philosophy of mind,4,0
"('leibnizsphilosophyofmind', 'philosophyofmind')",leibniz's philosophy of mind,philosophy of mind,4,0
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,0
"('consciousness', 'philosophyofmind')",consciousness,philosophy of mind,4,0
"('animalconsciousness', 'philosophyofmind')",animal consciousness,philosophy of mind,4,0
"('divineillumination', 'philosophyofmind')",divine illumination,philosophy of mind,3,0
"('folkpsychologyasatheory', 'philosophyofmind')",folk psychology as a theory,philosophy of mind,4,0
"('philosophyofmind', 'scottishphilosophyinthe19thcentury')",scottish philosophy in the 19th century,philosophy of mind,2,0
"('computationaltheoryofmind', 'philosophyofmind')",computational theory of mind,philosophy of mind,4,0
"('mentalrepresentationinmedievalphilosophy', 'philosophyofmind')",mental representation in medieval philosophy,philosophy of mind,3,0
"('mentalcausation', 'philosophyofmind')",mental causation,philosophy of mind,4,0
"('implicature', 'pragmatics')",implicature,pragmatics,4,0
"('philosophyofmind', 'philosophyofpsychology')",philosophy of psychology,philosophy of mind,4,0
"('dualism', 'philosophyofmind')",dualism,philosophy of mind,4,0
"('mentalrepresentation', 'philosophyofmind')",mental representation,philosophy of mind,4,0
"('computationaltheoryofmind', 'syntax')",computational theory of mind,syntax,3,0
"('intentionality', 'philosophyofmind')",intentionality,philosophy of mind,4,0
"('mentalimagery', 'philosophyofmind')",mental imagery,philosophy of mind,3,0
"('philosophyofmind', 'propositionalattitude')",propositional attitude,philosophy of mind,4,0
"('metaphysicsofmind', 'philosophyofmind')",metaphysics of mind,philosophy of mind,4,0
"('materialism', 'philosophyofmind')",materialism,philosophy of mind,4,0
"('cognitivescience', 'computationandrepresentation')",computation and representation,cognitive science,3,0
"('defaultsinsemanticsandpragmatics', 'pragmatics')",defaults in semantics and pragmatics,pragmatics,4,0
"('philosophyofmind', 'selfconsciousness')",self-consciousness,philosophy of mind,4,0
"('ancienttheoriesofsoul', 'philosophyofmind')",ancient theories of soul,philosophy of mind,3,0
"('philosophyofmind', 'qualities')",qualities,philosophy of mind,2,0
"('epistemologicalproblemsofmemory', 'philosophyofmind')",epistemological problems of memory,philosophy of mind,3,0
"('folkpsychology', 'philosophyofmind')",folk psychology,philosophy of mind,4,0
"('logicandlanguage', 'philosophyofmind')",logic and language,philosophy of mind,4,0
"('cartesiandualism', 'philosophyofmind')",cartesian dualism,philosophy of mind,4,0
"('eliminativematerialism', 'philosophyofmind')",eliminative materialism,philosophy of mind,4,0
"('philosophyofmind', 'universals')",universals,philosophy of mind,2,0
"('phenomenology', 'philosophyofmind')",phenomenology,philosophy of mind,4,0
"('functionalism', 'philosophyofmind')",functionalism,philosophy of mind,4,0
"('mentalcontent', 'philosophyofmind')",mental content,philosophy of mind,4,0
"('philosophyofmind', 'philosophyofspaceandtime')",philosophy of space and time,philosophy of mind,0,0
"('philosophyofmind', 'teleologicalargumentforgodsexistence')",teleological argument for god's existence,philosophy of mind,0,0
"('descriptions', 'philosophyofmind')",descriptions,philosophy of mind,0,0
"('philosophyofcommonsense', 'philosophyofmind')",philosophy of common sense,philosophy of mind,1,0
"('philosophyofmind', 'substance')",substance,philosophy of mind,1,0
"('philosophyofmind', 'sounds')",sounds,philosophy of mind,2,0
"('infinity', 'philosophyofmind')",infinity,philosophy of mind,1,0
"('cognitivescience', 'kantsviewofthemindandconsciousnessofself')",kant's view of the mind and consciousness of self,cognitive science,2,3
"('abstractobject', 'philosophyofmind')",abstract object,philosophy of mind,0,0
"('consciousnessandscience', 'philosophyofmind')",consciousness and science,philosophy of mind,4,0
"('philosophyofmind', 'philosophyofphysics')",philosophy of physics,philosophy of mind,0,0
"('philosophyofmind', 'syntacticanalysis')",syntactic analysis,philosophy of mind,1,0
"('languageofthoughthypothesis', 'philosophyofmind')",language of thought hypothesis,philosophy of mind,4,0
"('goodnessandvaluetheory', 'philosophyofmind')",goodness and value theory,philosophy of mind,0,0
"('philosophyofchemistry', 'philosophyofmind')",philosophy of chemistry,philosophy of mind,0,0
"('naturalphilosophy', 'philosophyofmind')",natural philosophy,philosophy of mind,2,0
"('goodness', 'philosophyofmind')",goodness,philosophy of mind,0,0
"('philosophyofmind', 'spinozaspsychologicaltheory')",spinoza's psychological theory,philosophy of mind,3,0
"('philosophyofmind', 'philosophyofperception')",philosophy of perception,philosophy of mind,4,0
"('philosophyofcomposition', 'philosophyofmind')",philosophy of composition,philosophy of mind,0,0
"('cognitivescience', 'symbolicprocessing')",symbolic processing,cognitive science,4,0
"('causaltheoriesofmentalcontent', 'cognitivescience')",causal theories of mental content,cognitive science,4,0
"('compositionality', 'syntax')",compositionality,syntax,4,0
"('prooftheory', 'syntax')",proof theory,syntax,2,0
"('cognitivescience', 'connectionistmodel')",connectionist model,cognitive science,4,0
"('logicalconstant', 'logicalform')",logical constant,logical form,4,0
"('linearlogic', 'syntax')",linear logic,syntax,2,0
"('logicalform', 'logicaltruth')",logical truth,logical form,4,0
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,4,0
"('dialogicallogic', 'syntax')",dialogical logic,syntax,2,0
"('modeltheory', 'syntax')",model theory,syntax,1,0
"('logicandgames', 'syntax')",logic and games,syntax,1,0
"('cognitivescience', 'eliminativematerialism')",eliminative materialism,cognitive science,4,0
"('classicallogic', 'syntax')",classical logic,syntax,4,0
"('animalcognition', 'cognitivescience')",animal cognition,cognitive science,4,0
"('semanticconceptionsofinformation', 'syntax')",semantic conceptions of information,syntax,1,0
"('booleanalgebra', 'syntax')",boolean algebra,syntax,4,0
"('modallogic', 'syntax')",modal logic,syntax,1,0
"('intuitionisticlogic', 'syntax')",intuitionistic logic,syntax,2,3
"('logicalform', 'squareofopposition')",square of opposition,logical form,4,0
"('compositionality', 'logicalform')",compositionality,logical form,4,0
"('logicalform', 'singularpropositions')",singular propositions,logical form,4,0
"('anaphora', 'logicalform')",anaphora,logical form,3,0
"('logicalform', 'propositionalfunction')",propositional function,logical form,4,0
