key,ideaA,ideaB,relatedness,generality,persona,system_prompt,user_prompt,metadata
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:20:56.207636+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:20:56.705555+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:20:57.269831+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:20:57.810808+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:20:58.332744+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:20:58.855014+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:20:59.449713+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:00.091506+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:00.713549+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:01.249689+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,0,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:01.837815+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:02.449351+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:02.999387+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:03.568762+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:04.037932+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:04.701276+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:05.165125+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:05.662896+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:06.182925+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:06.649481+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:07.182636+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:07.740629+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:08.202240+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:08.680451+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:09.207102+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:09.766154+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:10.226215+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-06T02:21:10.670441+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
