ideaA,ideaB,aiRelatedness,aiGenerality,humanRelatedness,humanGenerality
folk psychology,cognitive science,3,3,4,2
symbolic processing,artificial intelligence,3,1,4,0
turing test,artificial intelligence,3,1,4,0
externalism about mental content,cognitive science,3,2,3,3
logic and artificial intelligence,artificial intelligence,3,0,4,0
eliminative materialism,cognitive science,3,3,4,2
animal cognition,cognitive science,3,3,4,0
neural network,cognitive science,3,1,4,0
teleological theories of mental content,cognitive science,3,3,3,3
computational theory of mind,cognitive science,3,2,4,0
folk psychology as mental simulation,folk psychology,3,2,4,0
connectionism,cognitive science,3,1,4,0
output unit,artificial intelligence,3,1,4,0
distributed representation,cognitive science,3,3,4,0
frame problem,artificial intelligence,3,3,4,0
distributed representation,artificial intelligence,3,1,4,0
thinking machine,artificial intelligence,3,1,4,0
logic and computation,artificial intelligence,3,3,3,1
simulation theory,folk psychology,2,0,4,0
computationalism,cognitive science,3,3,4,0
philosophy of computer science,cognitive science,3,0,4,2
language learning,cognitive science,3,1,4,2
mental representation,cognitive science,3,1,4,2
symbolic processing,folk psychology,3,3,3,1
input unit,folk psychology,1,0,1,3
network model,cognitive science,3,3,4,0
activation value,folk psychology,1,0,1,3
dynamical system,cognitive science,3,3,3,0
chinese room argument,cognitive science,3,3,4,0
identity theory of mind,folk psychology,3,0,3,2
logic and computation,cognitive science,3,2,4,2
metaphysics of mind,cognitive science,3,0,4,2
qualia,cognitive science,3,2,4,2
consciousness and psychology,cognitive science,3,2,4,3
intentional stance,cognitive science,3,3,4,3
classicism,cognitive science,1,-1,0,-1
theories of mental content,cognitive science,3,2,4,3
consciousness and intentionality,cognitive science,3,2,4,3
output unit,cognitive science,3,1,4,0
diagrams,cognitive science,3,3,2,3
symbol system,cognitive science,3,3,4,0
blindsight,cognitive science,3,2,4,0
autism,folk psychology,2,3,3,0
artificial intelligence,cognitive science,3,3,4,0
animal cognition,folk psychology,3,3,4,0
irrealism,cognitive science,1,0,0,-1
psychological relation,cognitive science,3,3,0,-1
leibniz's philosophy of mind,cognitive science,3,3,0,-1
