key,ideaA,ideaB,humanRelatedness,humanGenerality
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,4,2
"('artificialintelligence', 'symbolicprocessing')",symbolic processing,artificial intelligence,4,0
"('artificialintelligence', 'turingtest')",turing test,artificial intelligence,4,0
"('cognitivescience', 'externalismaboutmentalcontent')",externalism about mental content,cognitive science,3,3
"('artificialintelligence', 'logicandartificialintelligence')",logic and artificial intelligence,artificial intelligence,4,0
"('cognitivescience', 'eliminativematerialism')",eliminative materialism,cognitive science,4,2
"('animalcognition', 'cognitivescience')",animal cognition,cognitive science,4,0
"('cognitivescience', 'neuralnetwork')",neural network,cognitive science,4,0
"('cognitivescience', 'teleologicaltheoriesofmentalcontent')",teleological theories of mental content,cognitive science,3,3
"('cognitivescience', 'computationaltheoryofmind')",computational theory of mind,cognitive science,4,0
"('folkpsychology', 'folkpsychologyasmentalsimulation')",folk psychology as mental simulation,folk psychology,4,0
"('cognitivescience', 'connectionism')",connectionism,cognitive science,4,0
"('artificialintelligence', 'outputunit')",output unit,artificial intelligence,4,0
"('cognitivescience', 'distributedrepresentation')",distributed representation,cognitive science,4,0
"('artificialintelligence', 'frameproblem')",frame problem,artificial intelligence,4,0
"('artificialintelligence', 'distributedrepresentation')",distributed representation,artificial intelligence,4,0
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,0
"('artificialintelligence', 'logicandcomputation')",logic and computation,artificial intelligence,3,1
"('folkpsychology', 'simulationtheory')",simulation theory,folk psychology,4,0
"('cognitivescience', 'computationalism')",computationalism,cognitive science,4,0
"('cognitivescience', 'philosophyofcomputerscience')",philosophy of computer science,cognitive science,4,2
"('cognitivescience', 'languagelearning')",language learning,cognitive science,4,2
"('cognitivescience', 'mentalrepresentation')",mental representation,cognitive science,4,2
"('folkpsychology', 'symbolicprocessing')",symbolic processing,folk psychology,3,1
"('folkpsychology', 'inputunit')",input unit,folk psychology,1,3
"('cognitivescience', 'networkmodel')",network model,cognitive science,4,0
"('activationvalue', 'folkpsychology')",activation value,folk psychology,1,3
"('cognitivescience', 'dynamicalsystem')",dynamical system,cognitive science,3,0
"('chineseroomargument', 'cognitivescience')",chinese room argument,cognitive science,4,0
"('folkpsychology', 'identitytheoryofmind')",identity theory of mind,folk psychology,3,2
"('cognitivescience', 'logicandcomputation')",logic and computation,cognitive science,4,2
