key,ideaA,ideaB,relatedness,generality,persona,system_prompt,user_prompt,metadata
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,novice,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:52.008651+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,course_taker,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:52.193021+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,expert,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:52.345932+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,phd,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:52.543492+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,null,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:52.721359+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,novice,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:52.894174+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,course_taker,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:53.073335+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,expert,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:53.261961+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,phd,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:53.494277+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,null,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:53.653250+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,0,novice,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:53.801793+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,0,expert,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:54.006285+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,0,phd,v1,v1,"{""model"": ""llama-3.3-70b-versatile"", ""temperature"": 0, ""date"": ""2025-10-21T05:53:54.187968+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
