key,idea_a,idea_b,id_a,id_b,has_ids,edge_i_to_j,edge_j_to_i,edge_any
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,559,624,True,True,True,True
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,712,1923,True,True,True,True
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,1826,722,True,True,True,True
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,646,1829,True,True,True,True
"('metaphysics', 'substance')",metaphysics,substance,681,1504,True,True,True,True
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,1826,704,True,True,True,True
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,890,946,True,True,True,True
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,646,868,True,True,True,True
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,1013,1709,True,True,True,True
"('philosophyofreligion', 'religion')",philosophy of religion,religion,724,1893,True,True,True,True
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,894,890,True,True,True,True
"('belief', 'philosophyofreligion')",philosophy of religion,belief,724,880,True,True,True,True
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,624,148,True,True,True,True
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,890,903,True,True,True,True
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,892,722,True,True,True,True
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,724,1042,True,True,True,True
"('cognitivescience', 'mind')",cognitive science,mind,892,2067,True,True,True,True
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,1695,671,True,True,True,True
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,890,1196,True,True,True,True
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,892,715,True,True,True,True
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,1826,714,True,True,True,True
"('cognitivescience', 'connectionism')",connectionism,cognitive science,893,892,True,True,True,True
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,724,1029,True,True,True,True
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,724,1575,True,True,True,True
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,1692,624,True,True,True,True
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,892,720,True,True,True,True
"('cognitivescience', 'representation')",cognitive science,representation,892,885,True,True,True,True
"('philosophyofscienceandthesciences', 'probabilityandstatistics')",philosophy of science and the sciences,probability and statistics,1826,939,True,True,True,True
"('artificialintelligence', 'logic')",artificial intelligence,logic,890,674,True,True,True,True
"('bioethics', 'biomedicalethics')",biomedical ethics,bioethics,1986,621,True,True,True,True
"('mentalcontent', 'representation')",representation,mental content,885,925,True,True,True,True
"('cognitivescience', 'folkpsychology')",folk psychology,cognitive science,891,892,True,True,True,True
"('aristotleonnoncontradiction', 'perception')",aristotle on non-contradiction,perception,1857,2078,True,True,True,True
"('epistemology', 'socialphilosophyandpoliticalphilosophy')",social philosophy and political philosophy,epistemology,943,646,True,True,True,True
"('epistemology', 'realism')",realism,epistemology,480,646,True,True,True,True
"('epistemology', 'philosophiesoftheparticularsciences')",philosophies of the particular sciences,epistemology,1827,646,True,True,True,True
"('metaphysics', 'realismandantirealism')",realism and anti-realism,metaphysics,978,681,True,True,True,True
"('einsteinsphilosophyofscience', 'philosophyofscienceandthesciences')",einstein's philosophy of science,philosophy of science and the sciences,1173,1826,True,True,True,True
"('medievaltheoriesofrelations', 'metaphysics')",medieval theories of relations,metaphysics,1027,681,True,True,True,True
"('epistemology', 'probability')",probability,epistemology,770,646,True,True,True,True
"('epistemologicalproblemsoftestimony', 'epistemology')",epistemological problems of testimony,epistemology,1538,646,True,True,True,True
"('epistemology', 'reliabilism')",reliabilism,epistemology,486,646,True,True,True,True
"('connectionism', 'connectionistmodel')",connectionism,connectionist model,893,947,True,True,True,True
"('japanesezenbuddhistphilosophy', 'philosophyofmind')",japanese zen buddhist philosophy,philosophy of mind,1696,715,True,True,True,True
"('autism', 'perception')",autism,perception,57,2078,True,True,True,True
"('internalismandexternalism', 'philosophyofmind')",internalism and externalism,philosophy of mind,2163,715,True,True,True,True
"('knowledge', 'rationalismvsempiricism')",rationalism vs. empiricism,knowledge,1160,2075,True,True,True,True
"('higherordertheoriesofconsciousness', 'perception')",higher-order theories of consciousness,perception,1228,2078,True,True,True,True
"('artisticrepresentation', 'perception')",artistic representation,perception,2003,2078,True,True,True,True
"('chineseandwestern', 'chinesephilosophy')",chinese and western,chinese philosophy,1689,624,True,True,True,True
"('philosophyofcomputerscience', 'philosophyofmathematics')",philosophy of computer science,philosophy of mathematics,903,714,True,True,True,True
"('epistemologicalproblemsoftestimony', 'perception')",epistemological problems of testimony,perception,1538,2078,True,True,True,True
"('everettsrelativestateformulationofquantummechanics', 'philosophyofmind')",everett's relative-state formulation of quantum mechanics,philosophy of mind,1248,715,True,True,True,True
"('consciousness', 'unityofconsciousness')",unity of consciousness,consciousness,877,923,True,True,True,True
"('foreknowledgeandfreewill', 'freewill')",foreknowledge and free will,free will,1565,992,True,True,True,True
"('aristotleslogic', 'metaphysics')",aristotle's logic,metaphysics,1011,681,True,True,True,True
"('intentionality', 'perception')",intentionality,perception,1325,2078,True,True,True,True
"('philosophyandchristiantheology', 'philosophyofreligion')",philosophy and christian theology,philosophy of religion,1136,724,True,True,True,True
"('computationallinguistics', 'perception')",computational linguistics,perception,1994,2078,True,True,True,True
"('metaphysics', 'naturaltheology')",natural theology,metaphysics,1571,681,True,True,True,True
"('artificialintelligence', 'outputunit')",output unit,artificial intelligence,950,890,True,False,False,False
"('externalism', 'philosophyofmind')",externalism,philosophy of mind,201,715,True,True,True,True
"('philosophyoflanguage', 'sentence')",sentence,philosophy of language,1940,712,True,True,True,True
"('perception', 'selfknowledge')",self-knowledge,perception,808,2078,True,True,True,True
"('continuant', 'metaphysics')",continuant,metaphysics,1513,681,True,True,True,True
"('matter', 'philosophyofreligion')",matter,philosophy of religion,1497,724,True,True,True,True
"('metaphysics', 'philosophyofart')",philosophy of art,metaphysics,702,681,True,True,True,True
"('philosophyofscience', 'philosophyofsocialscience')",philosophy of social science,philosophy of science,919,722,True,True,True,True
"('aesthetics', 'aestheticsandphilosophyofart')",aesthetics,aesthetics and philosophy of art,614,1788,True,True,True,True
"('epistemology', 'probabilityandstatistics')",probability and statistics,epistemology,939,646,True,True,True,True
"('essenceandexistence', 'existence')",essence and existence,existence,1684,1478,True,True,True,True
"('epistemology', 'foundationalism')",foundationalism,epistemology,223,646,True,True,True,True
"('body', 'philosophyofmind')",body,philosophy of mind,2040,715,True,True,True,True
"('philosophyofcomputerscience', 'philosophyofscience')",philosophy of computer science,philosophy of science,903,722,True,True,True,True
"('causalprocesses', 'causation')",causal processes,causation,1080,969,True,True,True,True
"('ethics', 'gametheoryinethics')",game theory in ethics,ethics,1596,647,True,True,True,True
"('cognitivescience', 'kantsviewofthemindandconsciousnessofself')",kant's view of the mind and consciousness of self,cognitive science,1058,892,True,True,True,True
"('metaphysics', 'realism')",realism,metaphysics,480,681,True,True,True,True
"('perception', 'sensedata')",sense-data,perception,1541,2078,True,True,True,True
"('continentalphilosophy', 'philosophyofhistory')",philosophy of history,continental philosophy,711,631,True,True,True,True
"('cognitivescience', 'mentalimagery')",mental imagery,cognitive science,1223,892,True,True,True,True
"('humeonreligion', 'philosophyofreligion')",hume on religion,philosophy of religion,1780,724,True,True,True,True
"('epistemology', 'justifiedtruebelief')",justified true belief,epistemology,1549,646,True,True,True,True
"('bioethics', 'cloning')",cloning,bioethics,2015,621,True,True,True,True
"('epistemology', 'knowledge')",knowledge,epistemology,2075,646,True,True,True,True
"('civildisobedience', 'philosophyoflaw')",philosophy of law,civil disobedience,713,1732,True,True,True,True
"('emergence', 'panpsychism')",panpsychism,emergence,695,909,True,True,True,True
"('kantsphilosophyofscience', 'metaphysics')",kant's philosophy of science,metaphysics,1055,681,True,True,True,True
"('historyoflogic', 'medievallogic')",medieval logic,history of logic,1813,917,True,True,True,True
"('idiolects', 'philosophyoflanguage')",idiolects,philosophy of language,1384,712,True,True,True,True
"('divineillumination', 'philosophyofmind')",divine illumination,philosophy of mind,1383,715,True,True,True,True
"('consciousness', 'consciousnessandintentionality')",consciousness and intentionality,consciousness,1227,923,True,True,True,True
"('ethnocentrism', 'philosophyofreligion')",ethnocentrism,philosophy of religion,192,724,True,True,True,True
"('foundationalism', 'skepticism')",foundationalism,skepticism,223,527,True,True,True,True
"('folkpsychology', 'philosophyofmind')",folk psychology,philosophy of mind,891,715,True,True,True,True
"('perception', 'qualia')",qualia,perception,737,2078,True,True,True,True
"('metaphysics', 'motionandtime')",motion and time,metaphysics,1821,681,True,True,True,True
"('metaphysics', 'naturalphilosophy')",natural philosophy,metaphysics,1632,681,True,True,True,True
"('pantheism', 'philosophyofreligion')",pantheism,philosophy of religion,417,724,True,True,True,True
"('epistemology', 'naturalizedepistemology')",naturalized epistemology,epistemology,1145,646,True,True,True,True
"('logos', 'perception')",logos,perception,1612,2078,True,True,True,True
"('analyticfeminism', 'metaphysics')",analytic feminism,metaphysics,1121,681,True,True,True,True
"('chinesephilosophy', 'chinesewesterncomparativephilosophy')",chinese-western comparative philosophy,chinese philosophy,1130,624,True,True,True,True
"('koreanphilosophy', 'perception')",korean philosophy,perception,673,2078,True,True,True,True
"('originofaesthetic', 'philosophyofmind')",origin of aesthetic,philosophy of mind,857,715,True,True,True,True
"('connectionism', 'trainingset')",connectionism,training set,893,949,True,True,True,True
"('evolution', 'unitsandlevelsofselection')",units and levels of selection,evolution,1300,1125,True,True,True,True
"('consciousness', 'consciousnessandcontent')",consciousness and content,consciousness,924,923,True,True,True,True
"('perception', 'philosophyofphysics')",philosophy of physics,perception,719,2078,True,True,True,True
"('dynamicalsystem', 'supertasks')",supertasks,dynamical system,1187,938,True,False,False,False
"('modularity', 'philosophyofmind')",modularity,philosophy of mind,829,715,True,True,True,True
"('logic', 'philosophyofmathematics')",logic,philosophy of mathematics,674,714,True,True,True,True
"('defeasiblereasoning', 'epistemology')",defeasible reasoning,epistemology,1054,646,True,True,True,True
"('descartesontologicalargument', 'perception')",descartes' ontological argument,perception,1281,2078,True,True,True,True
"('bioethics', 'feministbioethics')",feminist bioethics,bioethics,1030,621,True,True,True,True
"('justifiedtruebelief', 'perception')",justified true belief,perception,1549,2078,True,True,True,True
"('philosophyofreligion', 'polytheism')",polytheism,philosophy of religion,451,724,True,True,True,True
"('philosophyofmind', 'philosophyofpsychology')",philosophy of psychology,philosophy of mind,720,715,True,True,True,True
"('metaphysics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,metaphysics,1826,681,True,True,True,True
"('consciousness', 'phenomenalconsciousness')",phenomenal consciousness,consciousness,965,923,True,True,True,True
"('artificialintelligence', 'logicandcomputation')",logic and computation,artificial intelligence,940,890,True,False,False,False
"('analysis', 'philosophyofmathematics')",analysis,philosophy of mathematics,1508,714,True,True,True,True
"('metaphysics', 'principleofsufficientreason')",principle of sufficient reason,metaphysics,1640,681,True,True,True,True
"('perception', 'unityofconsciousness')",unity of consciousness,perception,877,2078,True,True,True,True
"('meaning', 'metaphysics')",meaning,metaphysics,1923,681,True,True,True,True
"('philosophiesoftheparticularsciences', 'philosophyofscienceandthesciences')",philosophies of the particular sciences,philosophy of science and the sciences,1827,1826,True,True,True,True
"('metaphysics', 'mind')",mind,metaphysics,2067,681,True,True,True,True
"('epistemology', 'propernames')",proper names,epistemology,2019,646,True,True,True,True
"('metaphysics', 'simultaneity')",simultaneity,metaphysics,1997,681,True,True,True,True
"('philosophyofmathematics', 'settheory')",philosophy of mathematics,set theory,714,1287,True,True,True,True
"('historyoflogic', 'medievaltheoriesofthesyllogism')",medieval theories of the syllogism,history of logic,1243,917,True,True,True,True
"('metaphysicsofmind', 'panpsychism')",panpsychism,metaphysics of mind,695,897,True,True,True,True
"('philosophyofmind', 'symbolicprocessing')",symbolic processing,philosophy of mind,954,715,True,True,True,True
"('modernphilosophy', 'philosophyofmind')",modern philosophy,philosophy of mind,899,715,True,True,True,True
"('chineseroomargument', 'cognitivescience')",chinese room argument,cognitive science,1137,892,True,True,True,True
"('arabicphilosophyandislamicphilosophy', 'metaphysics')",arabic philosophy and islamic philosophy,metaphysics,930,681,True,True,True,True
"('consciousness', 'higherordertheoriesofconsciousness')",higher-order theories of consciousness,consciousness,1228,923,True,True,True,True
"('afterlife', 'meaningoflife')",meaning of life,afterlife,1603,1581,True,True,True,True
"('philosophyofmind', 'syntacticanalysis')",syntactic analysis,philosophy of mind,810,715,True,False,False,False
"('metaphysics', 'universals')",universals,metaphysics,1483,681,True,True,True,True
"('epistemology', 'matter')",matter,epistemology,1497,646,True,True,True,True
"('philosophyofreligion', 'religiousexperience')",philosophy of religion,religious experience,724,1574,True,True,True,True
"('interpretation', 'judaicphilosophy')",judaic philosophy,interpretation,921,845,True,False,False,False
"('epistemology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,epistemology,1826,646,True,True,True,True
"('causeandeffect', 'perception')",cause and effect,perception,1897,2078,True,True,True,True
"('chinesephilosophy', 'westernphilosophy')",western philosophy,chinese philosophy,758,624,True,True,True,True
"('naturallaw', 'philosophyoflaw')",natural law,philosophy of law,2044,713,True,True,True,True
"('chinesephilosophy', 'zenbuddhism')",zen buddhism,chinese philosophy,759,624,True,False,False,False
"('metaphysics', 'metaphysicsofscience')",metaphysics of science,metaphysics,1828,681,True,True,True,True
"('cognitivescience', 'philosophyofscienceandthesciences')",cognitive science,philosophy of science and the sciences,892,1826,True,True,True,True
"('metaphysics', 'modernphilosophy')",modern philosophy,metaphysics,899,681,True,True,True,True
"('metaphysics', 'personalidentityandethics')",personal identity and ethics,metaphysics,1598,681,True,True,True,True
"('perception', 'unitarianism')",unitarianism,perception,590,2078,True,True,True,True
"('epistemology', 'feministepistemologyandphilosophyofscience')",feminist epistemology and philosophy of science,epistemology,1043,646,True,True,True,True
"('18thcenturygermanaesthetics', 'metaphysics')",18th century german aesthetics,metaphysics,1856,681,True,True,True,True
"('activationvalue', 'folkpsychology')",activation value,folk psychology,955,891,True,True,True,True
"('hilbertsprogram', 'philosophyofmathematics')",hilbert's program,philosophy of mathematics,1356,714,True,True,True,True
"('eliminativematerialism', 'philosophyofmind')",eliminative materialism,philosophy of mind,641,715,True,True,True,True
"('historyoflogic', 'intuitionisticlogic')",intuitionistic logic,history of logic,1211,917,True,False,False,False
"('blindsight', 'perception')",blindsight,perception,870,2078,True,True,True,True
"('scientificmethodology', 'unityofscience')",unity of science,scientific methodology,983,1830,True,True,True,True
"('cognitivescience', 'neuralnetwork')",neural network,cognitive science,946,892,True,True,True,True
"('metaphysics', 'time')",time,metaphysics,1488,681,True,True,True,True
"('functionalism', 'philosophyofmind')",functionalism,philosophy of mind,226,715,True,True,True,True
"('foundationalism', 'foundationalisttheoriesofepistemicjustification')",foundationalist theories of epistemic justification,foundationalism,1321,223,True,True,True,True
"('intuitionisticlogic', 'logic')",logic,intuitionistic logic,674,1211,True,True,True,True
"('connectionism', 'neuralnetwork')",connectionism,neural network,893,946,True,True,True,True
"('causaltheoriesofmentalcontent', 'perception')",causal theories of mental content,perception,1699,2078,True,True,True,True
"('metaphysics', 'mindbodyproblem')",mind-body problem,metaphysics,819,681,True,True,True,True
"('greatapes', 'philosophyofmind')",great apes,philosophy of mind,962,715,True,True,True,True
"('philosophyofreligion', 'problemofevil')",problem of evil,philosophy of religion,1126,724,True,True,True,True
"('epistemology', 'gettierproblem')",gettier problem,epistemology,1550,646,True,True,True,True
"('epistemology', 'internalism')",internalism,epistemology,666,646,True,True,True,True
"('eternityinchristianthought', 'philosophyofreligion')",Eternity in Christian Thought,philosophy of religion,1580,724,True,True,True,True
"('miracles', 'philosophyofreligion')",miracles,philosophy of religion,1219,724,True,True,True,True
"('existence', 'metaphysics')",existence,metaphysics,1478,681,True,True,True,True
"('philosophyofreligion', 'sovereignty')",sovereignty,philosophy of religion,1213,724,True,True,True,True
"('philosophyofpsychology', 'philosophyofscienceandthesciences')",philosophy of psychology,philosophy of science and the sciences,720,1826,True,True,True,True
"('epistemology', 'naturalisminlegalphilosophy')",naturalism in legal philosophy,epistemology,1167,646,True,True,True,True
"('perception', 'philosophyofperception')",philosophy of perception,perception,718,2078,True,True,True,True
"('epistemology', 'platonicrealism')",platonic realism,epistemology,727,646,True,True,True,True
"('computationaltheoryofmind', 'philosophyofmind')",computational theory of mind,philosophy of mind,1235,715,True,True,True,True
"('civilrights', 'racism')",racism,civil rights,473,1134,True,True,True,True
"('epistemology', 'feministsocialepistemology')",feminist social epistemology,epistemology,1775,646,True,True,True,True
"('leibnizoncausation', 'perception')",leibniz on causation,perception,1181,2078,True,True,True,True
"('philosophyofscienceandthesciences', 'scientificprogress')",scientific progress,philosophy of science and the sciences,1203,1826,True,True,True,True
"('epistemology', 'sensedata')",sense data,epistemology,1288,646,True,True,True,True
"('epistemology', 'testimony')",testimony,epistemology,2077,646,True,True,True,True
"('epistemology', 'scientifictheory')",scientific theory,epistemology,981,646,True,True,True,True
"('medievaltheoriesofcausality', 'metaphysics')",medieval theories of causality,metaphysics,1083,681,True,False,False,False
"('artificialintelligence', 'connectionistmodel')",connectionist model,artificial intelligence,947,890,True,True,True,True
"('classicallogic', 'logic')",logic,classical logic,674,1195,True,True,True,True
"('epistemology', 'modernphilosophy')",modern philosophy,epistemology,899,646,True,True,True,True
"('philosophyofreligion', 'scienceandreligion')",science and religion,philosophy of religion,979,724,True,True,True,True
"('philosophyofmind', 'spinozaspsychologicaltheory')",spinoza's psychological theory,philosophy of mind,1172,715,True,True,True,True
"('intellectualism', 'philosophyofreligion')",intellectualism,philosophy of religion,278,724,True,True,True,True
"('existence', 'existenceofgod')",existence of god,existence,1905,1478,True,True,True,True
"('philosophyofmind', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mind,1826,715,True,True,True,True
