key,ideaA,ideaB,relatedness,generality,persona,system_prompt,user_prompt,metadata
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,novice,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:12.666368+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,course_taker,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:13.553639+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,expert,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:14.707776+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,phd,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:16.603674+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,novice,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:18.088934+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,course_taker,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:19.116230+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,expert,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:40.026790+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,phd,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:40.774503+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,3,1,novice,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:32:41.257980+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,3,1,expert,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:47:59.139270+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,phd,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:47:59.900833+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,3,1,course_taker,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:00.542967+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,3,1,expert,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:01.449251+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,phd,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:03.183824+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('metaphysics', 'substance')",metaphysics,substance,3,1,course_taker,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:03.861677+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('metaphysics', 'substance')",metaphysics,substance,3,1,expert,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:04.661907+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('metaphysics', 'substance')",metaphysics,substance,3,1,phd,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:05.531052+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,3,1,novice,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:06.560771+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,3,1,expert,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:07.616390+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,3,1,phd,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:08.766473+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,3,1,course_taker,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:09.629504+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,3,1,expert,v1,v1,"{""model"": ""gpt-4o"", ""temperature"": 0, ""date"": ""2025-10-08T20:48:10.320886+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
