key,ideaA,ideaB,relatedness,generality,persona
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,3,0,novice
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,3,0,course_taker
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,phd
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,expert
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,expert
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,2,0,novice
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,course_taker
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,3,phd
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,3,phd
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,-1,0,expert
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,3,novice
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,phd
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,-1,phd
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,2,phd
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,2,phd
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,2,phd
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,2,expert
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,expert
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,3,expert
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,-1,-1,course_taker
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,0,phd
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,-1,phd
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,3,0,phd
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,0,phd
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,2,0,phd
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,2,3,phd
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,3,0,expert
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,0,expert
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,0,expert
"('metaphysics', 'substance')",metaphysics,substance,4,1,course_taker
"('metaphysics', 'substance')",metaphysics,substance,4,0,phd
"('metaphysics', 'substance')",metaphysics,substance,3,0,expert
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,3,novice
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,-1,phd
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,0,phd
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,0,phd
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,0,phd
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,3,expert
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,0,course_taker
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,3,-1,phd
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,-1,expert
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,2,-1,novice
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,3,-1,phd
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,2,phd
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,2,3,phd
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,2,0,expert
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,-1,-1,course_taker
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,phd
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,1,expert
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,1,expert
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,2,course_taker
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,1,phd
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,1,phd
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,phd
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,1,expert
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,1,expert
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,1,course_taker
