key,ideaA,ideaB,humanRelatedness,humanGenerality
"('hilbertsprogram', 'philosophyofmathematics')",hilbert's program,philosophy of mathematics,3,0
"('aristotleandmathematics', 'philosophyofmathematics')",aristotle and mathematics,philosophy of mathematics,4,0
"('philosophyofmathematics', 'zenosparadoxes')",zeno's paradoxes,philosophy of mathematics,3,0
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,1,2
"('africanandafricanamericanphilosophy', 'africanphilosophy')",african philosophy,african and african-american philosophy,4,0
"('africanamericanphilosophy', 'africanandafricanamericanphilosophy')",african american philosophy,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'politicalrepresentation')",political representation,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'dwarfism')",dwarfism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'identitypolitics')",identity politics,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'separatism')",separatism,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'equalityofopportunity')",equality of opportunity,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'immigration')",immigration,african and african-american philosophy,2,3
"('africanandafricanamericanphilosophy', 'civildisobedience')",civil disobedience,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'sadism')",sadism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'feministperspectivesonclassandwork')",feminist perspectives on class and work,african and african-american philosophy,1,3
"('africanandafricanamericanphilosophy', 'racism')",racism,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'trainingset')",training set,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'consciousnessandmentalcontent')",consciousness and mental content,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'civilrights')",civil rights,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'rawlsianliberalism')",rawlsian liberalism,african and african-american philosophy,1,0
"('africanandafricanamericanphilosophy', 'simpsonsparadox')",simpson's paradox,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'pregnancy')",pregnancy,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'pragmatistfeminism')",pragmatist feminism,african and african-american philosophy,0,0
"('africanandafricanamericanphilosophy', 'nepotism')",nepotism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'historyoffeminism')",history of feminism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'westernphilosophy')",western philosophy,african and african-american philosophy,2,3
"('africanandafricanamericanphilosophy', 'africansagephilosophy')",african sage philosophy,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'ethnophilosophy')",ethnophilosophy,african and african-american philosophy,4,1
"('affirmativeaction', 'africanandafricanamericanphilosophy')",affirmative action,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'environmentalracism')",environmental racism,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'intersectionsbetweenanalyticandcontinentalfeminism')",intersections between analytic and continental feminism,african and african-american philosophy,1,3
"('africanandafricanamericanphilosophy', 'humanrights')",human rights,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'akanphilosophyoftheperson')",akan philosophy of the person,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'internationalorganizations')",international organizations,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'race')",race,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'greatapes')",great apes,african and african-american philosophy,0,3
"('africanandafricanamericanphilosophy', 'distributivejustice')",distributive justice,african and african-american philosophy,3,0
"('africanandafricanamericanphilosophy', 'intersectionsbetweenpragmatistandcontinentalfeminism')",intersections between pragmatist and continental feminism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'distributiveandeconomicjustice')",distributive and economic justice,african and african-american philosophy,3,0
"('africanandafricanamericanphilosophy', 'animalconsciousness')",animal consciousness,african and african-american philosophy,0,0
"('africanandafricanamericanphilosophy', 'egalitarianism')",egalitarianism,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'feministperspectivesonreproductionandthefamily')",feminist perspectives on reproduction and the family,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'animalcognition')",animal cognition,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'counseling')",counseling,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'socialjustice')",social justice,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'probabilityandstatistics')",probability and statistics,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'civiceducation')",civic education,african and african-american philosophy,2,0
"('africanandafricanamericanphilosophy', 'antisemitism')",anti-semitism,african and african-american philosophy,3,0
"('africanandafricanamericanphilosophy', 'genotypeandphenotype')",genotype and phenotype,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'feministaesthetics')",feminist aesthetics,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'protestantism')",protestantism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'childhood')",childhood,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'heroism')",heroism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'legalrights')",legal rights,african and african-american philosophy,4,0
"('africanandafricanamericanphilosophy', 'molecularbiologyandgenetics')",molecular biology and genetics,african and african-american philosophy,3,0
"('africanandafricanamericanphilosophy', 'continentalfeminism')",continental feminism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'methodsinfeminism')",methods in feminism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'catholicism')",catholicism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'grouprights')",group rights,african and african-american philosophy,4,-1
"('africanandafricanamericanphilosophy', 'terrorism')",terrorism,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'publicreason')",public reason,african and african-american philosophy,2,-1
"('africanandafricanamericanphilosophy', 'bioethics')",bioethics,african and african-american philosophy,0,-1
"('africanandafricanamericanphilosophy', 'sexism')",sexism,african and african-american philosophy,3,-1
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,-1,-1
"('concepts', 'fregestheoremandfoundationsforarithmetic')",frege's theorem and foundations for arithmetic,concepts,4,3
"('fregestheoremandfoundationsforarithmetic', 'philosophyoflaw')",frege's theorem and foundations for arithmetic,philosophy of law,0,3
"('philosophyofcomputerscience', 'philosophyofscience')",philosophy of computer science,philosophy of science,3,1
"('logic', 'philosophyofcomputerscience')",philosophy of computer science,logic,4,0
"('abstraction', 'philosophyofcomputerscience')",philosophy of computer science,abstraction,4,0
"('logicandlanguage', 'philosophyofcomputerscience')",philosophy of computer science,logic and language,3,0
"('philosophyofcomputerscience', 'philosophyofmathematics')",philosophy of computer science,philosophy of mathematics,3,2
"('philosophyofcomputerscience', 'philosophyoflanguage')",philosophy of computer science,philosophy of language,3,2
"('philosophyofcomputerscience', 'semantics')",philosophy of computer science,semantics,3,0
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,4,1
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,4,2
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,4,2
"('cognitivescience', 'psychiatry')",cognitive science,psychiatry,4,0
"('cognitivescience', 'mind')",cognitive science,mind,4,0
"('cognitivescience', 'representation')",cognitive science,representation,4,0
"('cognitivescience', 'explanation')",cognitive science,explanation,3,0
"('artificialintelligence', 'logic')",artificial intelligence,logic,4,2
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,4,0
"('artificialintelligence', 'computation')",artificial intelligence,computation,4,1
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,4,1
"('artificialintelligence', 'formalism')",artificial intelligence,formalism,2,1
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,0
"('artificialintelligence', 'cognitivescience')",artificial intelligence,cognitive science,4,1
"('thinkingmachine', 'turingtest')",thinking machine,turing test,4,0
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,1
"('behaviorism', 'thinkingmachine')",thinking machine,behaviorism,2,1
"('computation', 'thinkingmachine')",thinking machine,computation,4,1
"('functionalism', 'thinkingmachine')",thinking machine,functionalism,4,1
"('humancognition', 'thinkingmachine')",thinking machine,human cognition,3,1
"('connectionism', 'neuralnetwork')",connectionism,neural network,4,1
