key,ideaA,ideaB,relatedness,generality,persona,system_prompt,user_prompt,metadata
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,novice,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:13.223294+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,course_taker,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:14.640901+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,expert,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:16.034471+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,phd,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:17.389923+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,novice,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:18.768039+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,course_taker,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:20.117946+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,expert,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:21.766984+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,phd,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:23.191674+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,0,novice,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:24.581229+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,0,expert,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:26.086254+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,0,phd,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:27.529692+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,course_taker,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:29.004268+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,0,expert,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:30.397967+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,0,phd,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:31.833749+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,course_taker,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:33.261151+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,expert,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:34.668398+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,phd,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:36.074507+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,3,1,novice,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:37.443631+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,expert,v1,v1,"{""model"": ""Mistral-Nemo"", ""temperature"": 0, ""date"": ""2025-10-05T22:36:38.886930+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
