key,ideaA,ideaB,persona,relatedness,generality,model,relatedness_human,generality_human
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,novice,4,0,gpt-4o,3,0
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,course_taker,4,0,gpt-4o,3,0
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,expert,4,0,gpt-4o,4,0
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,expert,4,0,gpt-4o,4,0
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,phd,4,0,gpt-4o,4,0
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,novice,4,0,gpt-4o,2,0
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,course_taker,4,1,gpt-4o,4,1
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,expert,4,1,gpt-4o,-1,0
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,phd,4,1,gpt-4o,4,3
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,phd,4,1,gpt-4o,4,3
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,novice,3,1,gpt-4o,4,3
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,expert,3,1,gpt-4o,4,2
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,expert,3,1,gpt-4o,4,1
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,expert,3,1,gpt-4o,4,3
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,phd,4,1,gpt-4o,4,1
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,phd,4,1,gpt-4o,4,-1
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,phd,4,1,gpt-4o,4,2
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,phd,4,1,gpt-4o,4,2
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,phd,4,1,gpt-4o,4,2
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,course_taker,3,1,gpt-4o,-1,-1
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,expert,3,1,gpt-4o,3,0
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,expert,3,1,gpt-4o,4,0
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,expert,3,1,gpt-4o,4,0
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,phd,4,1,gpt-4o,4,0
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,phd,4,1,gpt-4o,4,-1
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,phd,4,1,gpt-4o,3,0
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,phd,4,1,gpt-4o,4,0
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,phd,4,1,gpt-4o,2,0
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,phd,4,1,gpt-4o,2,3
"('metaphysics', 'substance')",metaphysics,substance,course_taker,3,1,gpt-4o,4,1
"('metaphysics', 'substance')",metaphysics,substance,expert,3,1,gpt-4o,3,0
"('metaphysics', 'substance')",metaphysics,substance,phd,3,1,gpt-4o,4,0
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,novice,3,1,gpt-4o,4,3
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,expert,3,1,gpt-4o,4,3
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,phd,3,1,gpt-4o,4,-1
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,phd,3,1,gpt-4o,4,0
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,phd,3,1,gpt-4o,4,0
