key,ideaA,ideaB,relatedness,generality,persona,system_prompt,user_prompt,metadata
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,-1,3,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.559727+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,-1,3,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560280+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,-1,3,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560454+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,-1,3,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560647+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,-1,3,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560762+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,-1,3,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560810+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,-1,3,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560851+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,-1,3,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560890+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,-1,3,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560959+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,-1,3,course_taker,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.560999+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,-1,3,phd,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.561037+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,-1,3,expert,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.561074+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,-1,3,novice,v1,v1,"{""model"": null, ""temperature"": null, ""date"": ""2025-09-06T23:06:20.561139+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
