persona,model,relatedness,generality
course_taker,claude,3.5441176470588234,0.9117647058823529
course_taker,gemini,3.661764705882353,1.088235294117647
course_taker,gpt-4o,3.0,0.7352941176470589
course_taker,mistral,3.411764705882353,0.16176470588235295
expert,claude,3.4110552763819095,0.5326633165829145
expert,gemini,3.3376884422110553,0.8150753768844221
expert,gpt-4o,2.7095477386934674,0.3487437185929648
expert,mistral,3.1618090452261307,0.08944723618090453
novice,claude,3.4444444444444446,0.6666666666666666
novice,gemini,3.388888888888889,1.0
novice,gpt-4o,2.888888888888889,0.3611111111111111
novice,mistral,3.1666666666666665,0.2222222222222222
phd,claude,3.4809228039041704,0.481810115350488
phd,gemini,3.4498669032830525,0.8127772848269743
phd,gpt-4o,2.897071872227152,0.3149955634427684
phd,mistral,3.0479148181011535,0.09050576752440107
