idA,idB,relatedness,generality
Abolitionism,Civil Rights,Related,More General Than
Abolitionism,Progress,Somewhat Related,More General Than
Abolitionism,Dignity,Somewhat Related,More General Than
Abolitionism,Authority,Related,More Specific Than
Abolitionism,Hope,Somewhat Related,More General Than
Abolitionism,Critical Theory,Related,More General Than
Abolitionism,Rights,Related,More General Than
Abolitionism,Concepts,Marginally Related,Incomparable To
Abolitionism,Divine Providence,Somewhat Related,Incomparable To
Absenteeism,Alienation,Somewhat Related,More General Than
Absolutism,Understanding,Marginally Related,Incomparable To
Absolutism,Respect,Marginally Related,Incomparable To
Absolutism,Philosophy of Religion,Related,More General Than
Absolutism,Culture,Somewhat Related,More General Than
Absolutism,Rights,Related,More General Than
Absolutism,War,Related,Incomparable To
Absolutism,Time,Marginally Related,Incomparable To
Absolutism,Dirty Hands,Somewhat Related,Incomparable To
Absolutism,Authority,Related,More General Than
Human and Nonhuman Chimeras,Dignity,Related,More General Than
Human and Nonhuman Chimeras,Species,Related,More Specific Than
Human and Nonhuman Chimeras,Boundary,Related,More Specific Than
Human and Nonhuman Chimeras,Informed Consent,Somewhat Related,Incomparable To
Human and Nonhuman Chimeras,Cloning,Related,More Specific Than
Human and Nonhuman Chimeras,Philosophy of Medicine,Related,More Specific Than
Human and Nonhuman Chimeras,Time,Marginally Related,Incomparable To
Human and Nonhuman Chimeras,Exploitation,Somewhat Related,Incomparable To
Human and Nonhuman Chimeras,Relations,Marginally Related,Incomparable To
Activism,Approaches to Feminist Philosophy,Related,As General As
Activism,Culture,Related,More General Than
Activism,Philosophy of Education,Somewhat Related,More General Than
Activism,Philosophy of Economics,Marginally Related,N/A
Activism,Race,Related,More General Than
Activism,Life,Related,As General As
Activism,Recognition,Somewhat Related,More General Than
Activism,Understanding,Somewhat Related,N/A
Activism,Attention,Somewhat Related,More General Than
Aestheticism,Culture,Related,More Specific Than
Aestheticism,Events,Marginally Related,Incomparable To
Aestheticism,Life,Related,More General Than
Aestheticism,Descriptions,Somewhat Related,More General Than
Aestheticism,Psychology and Psychiatry,Somewhat Related,More General Than
Aestheticism,Markets,Marginally Related,More General Than
Aestheticism,Identity,Somewhat Related,More General Than
