key,ideaA,ideaB,relatedness,generality,persona,system_prompt,user_prompt,metadata
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:25:57.828232+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:25:58.367870+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:25:58.984445+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:25:59.596973+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:00.113476+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:00.693786+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:01.222006+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,0,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:01.716348+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:02.263908+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:02.785572+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:03.294059+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:03.896194+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,0,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:04.614953+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:05.118143+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:05.639951+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:06.257282+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:06.794852+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,4,1,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:07.314105+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:07.942768+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:08.610100+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:09.215614+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('metaphysics', 'substance')",metaphysics,substance,4,1,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:09.733449+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:10.451325+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:11.180371+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:11.682597+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,4,1,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:13.083115+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:13.521755+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:14.098809+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:14.702585+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,4,1,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:15.169845+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,novice,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:15.701863+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:16.217922+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:16.782550+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,4,1,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:17.342614+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:18.226750+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:18.955276+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:19.465214+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,4,0,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:20.027562+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:20.599499+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:21.206307+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:21.907893+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofreligion', 'religion')",philosophy of religion,religion,4,0,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:22.767586+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,2,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:23.490714+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,2,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:24.072119+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,2,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:24.601044+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,4,2,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:25.121853+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:25.608491+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,4,0,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:26.141821+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,4,3,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:26.607460+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('belief', 'philosophyofreligion')",philosophy of religion,belief,4,0,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:27.070096+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,1,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:27.543047+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,1,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:28.105150+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,1,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:28.714522+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,4,1,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:29.293378+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:29.887672+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,4,3,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:30.416184+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,4,0,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:30.931600+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,3,3,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:31.471006+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,3,3,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:32.010597+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,3,3,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:32.569759+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,4,3,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:33.080761+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,3,3,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:33.611487+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,3,course_taker,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:34.211337+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,4,3,expert,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:34.698291+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,4,3,phd,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:35.198310+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,3,null,v1,v1,"{""model"": ""gemini-2.0-flash"", ""temperature"": 0, ""date"": ""2025-10-21T23:26:35.734478+00:00"", ""prompt_version"": ""v1"", ""persona"": ""null""}"
