pair_id,ideaA,ideaB,i_id,j_id,j_i_to_j,j_j_to_i,j_sym,has_sep,jweight
1,taoism,chinese philosophy,559,624,0.000164886,0.000165674,0.000165674,True,0.000164886
2,philosophy of language,meaning,712,1923,0.00367021,0.00368185,0.00368185,True,0.00367021
3,philosophy of science and the sciences,philosophy of science,1826,722,0.0392497,0.0495814,0.0495814,True,0.0392497
4,epistemology,epistemology of science,646,1829,0.000515651,0.000601684,0.000601684,True,0.000515651
5,metaphysics,substance,681,1504,0.00203354,0.00202536,0.00203354,True,0.00203354
6,philosophy of science and the sciences,philosophy of biology,1826,704,0.00671789,0.00959043,0.00959043,True,0.00671789
7,artificial intelligence,neural network,890,946,0.000203645,0.000207693,0.000207693,True,0.000203645
8,epistemology,moral epistemology and moral reasoning,646,868,0.000350926,0.000371315,0.000371315,True,0.000350926
9,revision theory of truth,truth,1013,1709,0.000326893,0.000294932,0.000326893,True,0.000326893
10,philosophy of religion,religion,724,1893,0.0217955,0.0252333,0.0252333,True,0.0217955
11,thinking machine,artificial intelligence,894,890,5.42939e-05,5.26194e-05,5.42939e-05,True,5.42939e-05
12,philosophy of religion,belief,724,880,0.00218722,0.0021095,0.00218722,True,0.00218722
13,chinese philosophy,daoism,624,148,0.000129637,0.000128049,0.000129637,True,0.000129637
14,artificial intelligence,philosophy of computer science,890,903,0.000245657,0.000246011,0.000246011,True,0.000245657
15,cognitive science,philosophy of science,892,722,0.00278644,0.00230006,0.00278644,True,0.00278644
16,philosophy of religion,religious diversity,724,1042,0.000914413,0.00101114,0.00101114,True,0.000914413
17,cognitive science,mind,892,2067,0.000652006,0.000599954,0.000652006,True,0.000652006
18,japanese confucian philosophy,japanese philosophy,1695,671,1.64425e-05,1.64355e-05,1.64425e-05,True,1.64425e-05
19,artificial intelligence,logic and artificial intelligence,890,1196,1.18176e-05,1.18353e-05,1.18353e-05,True,1.18176e-05
20,cognitive science,philosophy of mind,892,715,0.000652006,0.000599954,0.000652006,True,0.000652006
21,philosophy of science and the sciences,philosophy of mathematics,1826,714,0.000871514,0.0010508,0.0010508,True,0.000871514
22,connectionism,cognitive science,893,892,8.64762e-05,8.62305e-05,8.64762e-05,True,8.64762e-05
23,philosophy of religion,feminist philosophy of religion,724,1029,0.000690622,0.000751964,0.000751964,True,0.000690622
24,philosophy of religion,religion and science,724,1575,0.000963908,0.00104341,0.00104341,True,0.000963908
25,chinese buddhism,chinese philosophy,1692,624,4.11238e-05,4.04422e-05,4.11238e-05,True,4.11238e-05
26,cognitive science,philosophy of psychology,892,720,0.000626572,0.000605935,0.000626572,True,0.000626572
27,cognitive science,representation,892,885,0.000592531,0.00056528,0.000592531,True,0.000592531
28,philosophy of science and the sciences,probability and statistics,1826,939,0.0153886,0.0199511,0.0199511,True,0.0153886
29,artificial intelligence,logic,890,674,0.000242756,0.000229466,0.000242756,True,0.000242756
30,biomedical ethics,bioethics,1986,621,2.92616e-05,2.83263e-05,2.92616e-05,True,2.92616e-05
31,representation,mental content,885,925,0.000203432,0.000213818,0.000213818,True,0.000203432
32,folk psychology,cognitive science,891,892,0.000141244,0.000139433,0.000141244,True,0.000141244
33,aristotle on non-contradiction,perception,1857,2078,4.5102e-06,4.43499e-06,4.5102e-06,True,4.5102e-06
34,social philosophy and political philosophy,epistemology,943,646,0.000217493,0.000212946,0.000217493,True,0.000217493
35,realism,epistemology,480,646,0.000694569,0.000691379,0.000694569,True,0.000694569
36,philosophies of the particular sciences,epistemology,1827,646,0.00109563,0.00117598,0.00117598,True,0.00109563
37,realism and anti-realism,metaphysics,978,681,0.00117498,0.00115524,0.00117498,True,0.00117498
38,einstein's philosophy of science,philosophy of science and the sciences,1173,1826,9.5269e-05,8.40028e-05,9.5269e-05,True,9.5269e-05
39,medieval theories of relations,metaphysics,1027,681,5.33955e-07,5.30308e-07,5.33955e-07,True,5.33955e-07
40,probability,epistemology,770,646,0.000378381,0.000382779,0.000382779,True,0.000378381
41,epistemological problems of testimony,epistemology,1538,646,3.39609e-06,3.36491e-06,3.39609e-06,True,3.39609e-06
42,reliabilism,epistemology,486,646,0.000120035,0.000117624,0.000120035,True,0.000120035
43,connectionism,connectionist model,893,947,0.000235899,0.000247032,0.000247032,True,0.000235899
44,japanese zen buddhist philosophy,philosophy of mind,1696,715,0.000120294,0.000113856,0.000120294,True,0.000120294
45,autism,perception,57,2078,3.36761e-05,3.19313e-05,3.36761e-05,True,3.36761e-05
46,internalism and externalism,philosophy of mind,2163,715,0.000214569,0.000202693,0.000214569,True,0.000214569
47,rationalism vs. empiricism,knowledge,1160,2075,0.000464875,0.000416113,0.000464875,True,0.000464875
48,higher-order theories of consciousness,perception,1228,2078,9.98297e-05,9.67715e-05,9.98297e-05,True,9.98297e-05
49,artistic representation,perception,2003,2078,2.57454e-05,2.40994e-05,2.57454e-05,True,2.57454e-05
50,chinese and western,chinese philosophy,1689,624,0.000167414,0.000163599,0.000167414,True,0.000167414
51,philosophy of computer science,philosophy of mathematics,903,714,2.22965e-05,2.22786e-05,2.22965e-05,True,2.22965e-05
52,epistemological problems of testimony,perception,1538,2078,9.96351e-07,9.83938e-07,9.96351e-07,True,9.96351e-07
53,everett's relative-state formulation of quantum mechanics,philosophy of mind,1248,715,1.10318e-05,1.06511e-05,1.10318e-05,True,1.10318e-05
54,unity of consciousness,consciousness,877,923,0.000986294,0.000925711,0.000986294,True,0.000986294
55,foreknowledge and free will,free will,1565,992,0.000154311,0.000152126,0.000154311,True,0.000154311
56,aristotle's logic,metaphysics,1011,681,7.6278e-07,7.55401e-07,7.6278e-07,True,7.6278e-07
57,intentionality,perception,1325,2078,0.000375406,0.000366901,0.000375406,True,0.000375406
58,philosophy and christian theology,philosophy of religion,1136,724,4.81716e-05,4.66895e-05,4.81716e-05,True,4.81716e-05
59,computational linguistics,perception,1994,2078,4.34714e-06,4.31559e-06,4.34714e-06,True,4.34714e-06
60,natural theology,metaphysics,1571,681,0.00027905,0.000263324,0.00027905,True,0.00027905
61,output unit,artificial intelligence,950,890,,,,False,
62,externalism,philosophy of mind,201,715,0.000188628,0.000176301,0.000188628,True,0.000188628
63,sentence,philosophy of language,1940,712,0.00272649,0.00269281,0.00272649,True,0.00272649
64,self-knowledge,perception,808,2078,0.000214724,0.000208699,0.000214724,True,0.000214724
65,continuant,metaphysics,1513,681,7.5699e-05,6.93395e-05,7.5699e-05,True,7.5699e-05
66,matter,philosophy of religion,1497,724,0.00155237,0.00159069,0.00159069,True,0.00155237
67,philosophy of art,metaphysics,702,681,0.000819536,0.000824599,0.000824599,True,0.000819536
68,philosophy of social science,philosophy of science,919,722,0.00403139,0.00298253,0.00403139,True,0.00403139
69,aesthetics,aesthetics and philosophy of art,614,1788,0.0359973,0.0375302,0.0375302,True,0.0359973
70,probability and statistics,epistemology,939,646,0.000399685,0.000403873,0.000403873,True,0.000399685
71,essence and existence,existence,1684,1478,0.001223,0.000906266,0.001223,True,0.001223
72,foundationalism,epistemology,223,646,0.00034764,0.000331748,0.00034764,True,0.00034764
73,body,philosophy of mind,2040,715,0.00465876,0.00459098,0.00465876,True,0.00465876
74,philosophy of computer science,philosophy of science,903,722,0.00144397,0.00127909,0.00144397,True,0.00144397
75,causal processes,causation,1080,969,0.000455255,0.000437592,0.000455255,True,0.000455255
76,game theory in ethics,ethics,1596,647,4.82079e-05,3.80975e-05,4.82079e-05,True,4.82079e-05
77,kant's view of the mind and consciousness of self,cognitive science,1058,892,1.61191e-05,1.6092e-05,1.61191e-05,True,1.61191e-05
78,realism,metaphysics,480,681,0.00116819,0.00115475,0.00116819,True,0.00116819
