key,ideaA,ideaB,relatedness,generality,persona,system_prompt,user_prompt,metadata
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,novice,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:22:48.129433+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,course_taker,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:22:55.077938+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,expert,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:23:02.898496+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,0,phd,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:23:11.784604+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,novice,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:23:21.849126+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,course_taker,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:23:44.071717+00:00"", ""prompt_version"": ""v1"", ""persona"": ""course_taker""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,3,expert,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:23:57.430552+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,1,phd,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:24:08.070373+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,novice,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:24:15.252991+00:00"", ""prompt_version"": ""v1"", ""persona"": ""novice""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,expert,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:24:24.245068+00:00"", ""prompt_version"": ""v1"", ""persona"": ""expert""}"
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,4,1,phd,v1,v1,"{""model"": ""gemini-2.5-pro"", ""temperature"": 0, ""date"": ""2025-10-07T02:24:33.011653+00:00"", ""prompt_version"": ""v1"", ""persona"": ""phd""}"
