key,ideaA,ideaB,num_levels,levels,has_amateur,has_course_taker,has_phd_student,has_expert
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,4,"amateur, course_taker, phd_student, expert",True,True,True,True
"('meaning', 'philosophyoflanguage')",philosophy of language,meaning,4,"amateur, course_taker, phd_student, expert",True,True,True,True
"('philosophyofscience', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of science,3,"amateur, phd_student, expert",True,False,True,True
"('epistemology', 'epistemologyofscience')",epistemology,epistemology of science,3,"course_taker, phd_student, expert",False,True,True,True
"('metaphysics', 'substance')",metaphysics,substance,3,"course_taker, phd_student, expert",False,True,True,True
"('philosophyofbiology', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of biology,3,"amateur, phd_student, expert",True,False,True,True
"('artificialintelligence', 'neuralnetwork')",artificial intelligence,neural network,3,"course_taker, phd_student, expert",False,True,True,True
"('epistemology', 'moralepistemologyandmoralreasoning')",epistemology,moral epistemology and moral reasoning,3,"amateur, phd_student, expert",True,False,True,True
"('revisiontheoryoftruth', 'truth')",revision theory of truth,truth,3,"course_taker, phd_student, expert",False,True,True,True
"('philosophyofreligion', 'religion')",philosophy of religion,religion,3,"course_taker, phd_student, expert",False,True,True,True
"('artificialintelligence', 'thinkingmachine')",thinking machine,artificial intelligence,3,"course_taker, phd_student, expert",False,True,True,True
"('belief', 'philosophyofreligion')",philosophy of religion,belief,3,"course_taker, phd_student, expert",False,True,True,True
"('chinesephilosophy', 'daoism')",chinese philosophy,daoism,3,"course_taker, phd_student, expert",False,True,True,True
"('artificialintelligence', 'philosophyofcomputerscience')",artificial intelligence,philosophy of computer science,3,"course_taker, phd_student, expert",False,True,True,True
"('cognitivescience', 'philosophyofscience')",cognitive science,philosophy of science,3,"course_taker, phd_student, expert",False,True,True,True
"('philosophyofreligion', 'religiousdiversity')",philosophy of religion,religious diversity,3,"course_taker, phd_student, expert",False,True,True,True
"('cognitivescience', 'mind')",cognitive science,mind,3,"course_taker, phd_student, expert",False,True,True,True
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,3,"amateur, phd_student, expert",True,False,True,True
"('artificialintelligence', 'logicandartificialintelligence')",artificial intelligence,logic and artificial intelligence,3,"course_taker, phd_student, expert",False,True,True,True
"('cognitivescience', 'philosophyofmind')",cognitive science,philosophy of mind,3,"course_taker, phd_student, expert",False,True,True,True
"('philosophyofmathematics', 'philosophyofscienceandthesciences')",philosophy of science and the sciences,philosophy of mathematics,3,"course_taker, phd_student, expert",False,True,True,True
"('cognitivescience', 'connectionism')",connectionism,cognitive science,3,"course_taker, phd_student, expert",False,True,True,True
"('feministphilosophyofreligion', 'philosophyofreligion')",philosophy of religion,feminist philosophy of religion,3,"course_taker, phd_student, expert",False,True,True,True
"('philosophyofreligion', 'religionandscience')",philosophy of religion,religion and science,3,"course_taker, phd_student, expert",False,True,True,True
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,3,"amateur, phd_student, expert",True,False,True,True
"('cognitivescience', 'philosophyofpsychology')",cognitive science,philosophy of psychology,3,"course_taker, phd_student, expert",False,True,True,True
"('cognitivescience', 'representation')",cognitive science,representation,3,"course_taker, phd_student, expert",False,True,True,True
