key,ideaA,ideaB,humanRelatedness,humanGenerality
"('japaneseaesthetics', 'japanesephilosophy')",japanese aesthetics,japanese philosophy,2,0
"('japanesephilosophy', 'japanesezenbuddhistphilosophy')",japanese zen buddhist philosophy,japanese philosophy,2,0
"('japaneseconfucianphilosophy', 'japanesephilosophy')",japanese confucian philosophy,japanese philosophy,2,0
"('dynamism', 'japanesephilosophy')",dynamism,japanese philosophy,1,1
"('chinesephilosophy', 'mohistcanons')",mohist canons,chinese philosophy,3,0
"('chineseethics', 'chinesephilosophy')",chinese ethics,chinese philosophy,2,0
"('chinesebuddhism', 'chinesephilosophy')",chinese buddhism,chinese philosophy,2,0
"('chinesephilosophy', 'mohism')",mohism,chinese philosophy,3,0
"('chineseandwestern', 'chinesephilosophy')",chinese and western,chinese philosophy,-1,-1
"('chinesephilosophy', 'legalism')",legalism,chinese philosophy,2,-1
"('chinesephilosophy', 'taoism')",taoism,chinese philosophy,3,0
"('chinesephilosophy', 'hardproblem')",hard problem,chinese philosophy,0,-1
"('chinesephilosophy', 'deductivereasoning')",deductive reasoning,chinese philosophy,0,-1
"('chinesephilosophy', 'primitivism')",primitivism,chinese philosophy,0,-1
"('chinesephilosophy', 'fatalism')",fatalism,chinese philosophy,0,-1
"('chinesephilosophy', 'stoicism')",stoicism,chinese philosophy,1,2
"('chinesephilosophy', 'communitarianism')",communitarianism,chinese philosophy,-1,3
"('anarchy', 'chinesephilosophy')",anarchy,chinese philosophy,0,-1
"('historyoflogic', 'medievaltheoriesofthesyllogism')",medieval theories of the syllogism,history of logic,4,-1
"('historyoflogic', 'informallogic')",informal logic,history of logic,4,-1
"('ancientlogic', 'historyoflogic')",ancient logic,history of logic,4,-1
"('historyoflogic', 'hypotheticalsyllogism')",hypothetical syllogism,history of logic,4,-1
"('bolzanoslogic', 'historyoflogic')",bolzano's logic,history of logic,3,-1
"('determinatesvsdeterminables', 'historyoflogic')",determinates vs. determinables,history of logic,-1,-1
"('historyoflogic', 'paradoxesandcontemporarylogic')",paradoxes and contemporary logic,history of logic,3,-1
"('historyoflogic', 'logicandgames')",logic and games,history of logic,2,-1
"('analyticfeminism', 'historyoflogic')",analytic feminism,history of logic,1,-1
"('historyoflogic', 'scholasticism')",scholasticism,history of logic,4,-1
"('historyoflogic', 'linearlogic')",linear logic,history of logic,2,-1
"('historyoflogic', 'squareofopposition')",square of opposition,history of logic,4,-1
